chromosome	length	N number	N percent	GC number	GC percent	
>chr10	135534747	4220005	0.03	54607071	0.42	
>chr11	135006516	3877000	0.03	54504836	0.42	
>chr11_gl000202_random	40103	0	0.00	21899	0.55	
>chr12	133851895	3370501	0.03	53252045	0.41	
>chr13	115169878	19580000	0.17	36827474	0.39	
>chr14	107349540	19060000	0.18	36099079	0.41	
>chr15	102531392	20836623	0.20	34475969	0.42	
>chr16	90354753	11470000	0.13	35332028	0.45	
>chr17_ctg5_hap1	1680828	100000	0.06	718692	0.45	
>chr17	81195210	3400000	0.04	35428296	0.46	
>chr17_gl000203_random	37498	0	0.00	12482	0.33	
>chr17_gl000204_random	81310	0	0.00	44286	0.54	
>chr17_gl000205_random	174588	0	0.00	72862	0.42	
>chr17_gl000206_random	41001	0	0.00	21768	0.53	
>chr18	78077248	3420015	0.04	29702356	0.40	
>chr18_gl000207_random	4262	0	0.00	1873	0.44	
>chr19	59128983	3320000	0.06	26989400	0.48	
>chr19_gl000208_random	92689	0	0.00	34908	0.38	
>chr19_gl000209_random	159169	0	0.00	74008	0.46	
>chr1	249250621	23970000	0.10	94040974	0.42	
>chr1_gl000191_random	106433	0	0.00	47198	0.44	
>chr1_gl000192_random	547496	0	0.00	227171	0.41	
>chr20	63025520	3520000	0.06	26257240	0.44	
>chr21	48129895	13023203	0.27	14334933	0.41	
>chr21_gl000210_random	27682	100	0.00	14977	0.54	
>chr22	51304566	16410004	0.32	16745219	0.48	
>chr2	243199373	4994851	0.02	95862507	0.40	
>chr3	198022430	3225294	0.02	77323307	0.40	
>chr4_ctg9_hap1	590426	0	0.00	214768	0.36	
>chr4	191154276	3492600	0.02	71776628	0.38	
>chr4_gl000193_random	189789	0	0.00	81224	0.43	
>chr4_gl000194_random	191469	0	0.00	82827	0.43	
>chr5	180915260	3220000	0.02	70218569	0.40	
>chr6_apd_hap1	4622290	2301543	0.50	1019557	0.44	
>chr6_cox_hap2	4795371	0	0.00	2142565	0.45	
>chr6_dbb_hap3	4610396	406094	0.09	1888816	0.45	
>chr6	171115067	3720000	0.02	66306710	0.40	
>chr6_mann_hap4	4683263	582522	0.12	1810464	0.44	
>chr6_mcf_hap5	4833398	1038487	0.21	1719716	0.45	
>chr6_qbl_hap6	4611984	316659	0.07	1936945	0.45	
>chr6_ssto_hap7	4928567	755016	0.15	1845164	0.44	
>chr7	159138663	3785000	0.02	63308649	0.41	
>chr7_gl000195_random	182896	0	0.00	74370	0.41	
>chr8	146364022	3475100	0.02	57406604	0.40	
>chr8_gl000196_random	38914	0	0.00	15429	0.40	
>chr8_gl000197_random	37175	100	0.00	20023	0.54	
>chr9	141213431	21070000	0.15	49639471	0.41	
>chr9_gl000198_random	90085	0	0.00	34102	0.38	
>chr9_gl000199_random	169874	0	0.00	64407	0.38	
>chr9_gl000200_random	187035	0	0.00	74716	0.40	
>chr9_gl000201_random	36148	0	0.00	21487	0.59	
>chrM	16571	0	0.00	7372	0.44	
>chrUn_gl000211	166566	0	0.00	64475	0.39	
>chrUn_gl000212	186858	0	0.00	82936	0.44	
>chrUn_gl000213	164239	0	0.00	67177	0.41	
>chrUn_gl000214	137718	0	0.00	57182	0.42	
>chrUn_gl000215	172545	0	0.00	72473	0.42	
>chrUn_gl000216	172294	0	0.00	72319	0.42	
>chrUn_gl000217	172149	0	0.00	64709	0.38	
>chrUn_gl000218	161147	0	0.00	67070	0.42	
>chrUn_gl000219	179198	0	0.00	71609	0.40	
>chrUn_gl000220	161802	0	0.00	78417	0.48	
>chrUn_gl000221	155397	0	0.00	60038	0.39	
>chrUn_gl000222	186861	0	0.00	82170	0.44	
>chrUn_gl000223	180455	0	0.00	77956	0.43	
>chrUn_gl000224	179693	0	0.00	77785	0.43	
>chrUn_gl000225	211173	0	0.00	100631	0.48	
>chrUn_gl000226	15008	0	0.00	5857	0.39	
>chrUn_gl000227	128374	0	0.00	52646	0.41	
>chrUn_gl000228	129120	0	0.00	69641	0.54	
>chrUn_gl000229	19913	0	0.00	9986	0.50	
>chrUn_gl000230	43691	0	0.00	18224	0.42	
>chrUn_gl000231	27386	0	0.00	12232	0.45	
>chrUn_gl000232	40652	0	0.00	17002	0.42	
>chrUn_gl000233	45941	0	0.00	19489	0.42	
>chrUn_gl000234	40531	0	0.00	17457	0.43	
>chrUn_gl000235	34474	0	0.00	13099	0.38	
>chrUn_gl000236	41934	0	0.00	17458	0.42	
>chrUn_gl000237	45867	0	0.00	21403	0.47	
>chrUn_gl000238	39939	0	0.00	15976	0.40	
>chrUn_gl000239	33824	0	0.00	15357	0.45	
>chrUn_gl000240	41933	0	0.00	17842	0.43	
>chrUn_gl000241	42152	0	0.00	15717	0.37	
>chrUn_gl000242	43523	0	0.00	21063	0.48	
>chrUn_gl000243	43341	0	0.00	19940	0.46	
>chrUn_gl000244	39929	0	0.00	17421	0.44	
>chrUn_gl000245	36651	0	0.00	13309	0.36	
>chrUn_gl000246	38154	0	0.00	14746	0.39	
>chrUn_gl000247	36422	0	0.00	15880	0.44	
>chrUn_gl000248	39786	0	0.00	18165	0.46	
>chrUn_gl000249	38502	0	0.00	18011	0.47	
>chrX	155270560	4170000	0.03	59679184	0.39	
>chrY	59373566	33720000	0.57	10252459	0.40	
